NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
13320,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,SIMMRD",151,11.67,1.48,0,2.394,1.882,1.632,3100
17189,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",136,11.48,0,,2.18,1.74,1.49,3100
13318,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",143,10.86,1.05,0,2.3,1.89,1.586,3010
17357,"LAMB,NZ,IMP,BRAINS,CKD,SOAKED & FRIED",154,14.03,0,0,1.365,4.168,0.999,2559
10097,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",138,12.14,0,,2.15,1.72,1.47,2552
17187,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",273,16.97,0,,5.67,4.02,2.28,2504
01137,"EGG,YOLK,DRIED",679,33.73,2.1,0.07,18.116,23.679,8.766,2307
10096,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",127,10.28,0,,2.079,1.659,1.429,2195
17190,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",213,14.48,0,,3.96,4.21,2.44,2120
17358,"LAMB,NZ,IMP,BRAINS,RAW",118,11.33,0,0,1.035,2.243,0.781,2100
17186,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",145,12.55,0,,2.6,1.84,1.04,2043
01134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615,48.17,2.38,,13.198,17.564,5.713,2017
13319,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",196,12.57,0,,3.74,3.98,2.31,1995
01133,"EGG,WHOLE,DRIED",605,48.37,1.53,0.3,13.516,17.073,6.856,1630
17188,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",118,10.32,0,,1.91,1.64,0.95,1590
17185,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",122,10.4,0,,2.19,1.55,0.88,1352
01125,"EGG,YOLK,RAW,FRSH",322,15.86,3.59,0.56,9.551,11.738,4.204,1085
23421,"BEEF,NZ,IMP,KIDNEY,CKD,BLD",157,27.28,0,0,1.173,0.65,1.238,1002
01126,"EGG,YOLK,RAW,FRZ,PAST",299,15.33,1.3,0.17,7.922,9.775,4.248,991
01210,"EGG MIX,USDA CMDTY",555,35.6,23.97,2.46,10.305,13.745,7.555,975
01141,"EGG,TURKEY,WHL,FRSH,RAW",171,13.68,1.15,,3.632,4.571,1.658,933
01127,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",307,13.87,10.95,10.3,7.11,8.885,3.856,917
01160,"EGG,YOLK,RAW,FRZ,SALTED,PAST",275,14.07,1.77,0.07,7.159,9.07,3.733,912
01138,"EGG,DUCK,WHOLE,FRESH,RAW",185,12.81,1.45,0.93,3.681,6.525,1.223,884
01139,"EGG,GOOSE,WHOLE,FRESH,RAW",185,13.87,1.35,0.94,3.595,5.747,1.672,852
01140,"EGG,QUAIL,WHOLE,FRESH,RAW",158,13.05,0.41,0.4,3.557,4.324,1.324,844
17198,"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",163,26.32,0,,1.74,1.24,1.13,791
04590,"FISH OIL,HERRING",902,0,0,,21.29,56.564,15.604,766
13324,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,SIMMRD",158,27.27,0,0,1.439,0.96,1.138,716
04594,"FISH OIL,SARDINE",902,0,0,,29.892,33.841,31.867,710
05178,"TURKEY,LIVER,ALL CLASSES,CKD,SIMMRD",189,27,0,0,2.304,1.038,2.167,648
15012,"CAVIAR,BLACK&RED,GRANULAR",264,24.6,4,0,4.06,4.631,7.405,588
01144,"EGG SUBSTITUTE,POWDER",444,55.5,21.8,21.8,3.766,5.341,1.683,572
04589,"FISH OIL,COD LIVER",902,0,0,,22.608,46.711,22.541,570
17368,"LAMB,NZ,IMP,LIVER,CKD,SOAKED & FRIED",168,25.8,1.48,0,1.959,1.014,1.148,566
17196,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",137,23.65,0.99,,1.23,0.77,0.67,565
05661,"CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED",172,25.78,1.11,0,2.033,1.387,1.265,564
05028,"CHICKEN,LIVER,ALL CLASSES,CKD,SIMMRD",167,24.46,0.87,0,2.06,1.416,1.988,563
17376,"LAMB,NZ,IMP,TESTES,CKD,SOAKED & FRIED",125,21.01,0,0,1.461,0.731,1.022,523
04591,"FISH OIL,MENHADEN",902,0,0,,30.427,26.694,34.197,521
05172,"TURKEY,WHL,GIBLETS,CKD,SIMMRD",173,26.44,0,0,1.725,1.041,1.537,521
05143,"DUCK,DOMESTICATED,LIVER,RAW",136,18.74,3.53,,1.44,0.71,0.63,515
05150,"GOOSE,LIVER,RAW",133,16.37,6.32,,1.59,0.81,0.26,515
17203,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",192,28.42,3.77,0,1.986,1.146,1.069,511
17364,"LAMB,NZ,IMP,KIDNEY,CKD,SOAKED & FRIED",112,19.78,0.18,0,0.92,0.453,0.826,508
10118,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",149,28.2,0,,1.06,0.86,0.23,504
17200,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",220,30.57,2.53,,3.41,1.84,1.31,501
04592,"FISH OIL,MENHADEN,FULLY HYDR",902,0,0,,95.6,0,0,500
17201,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",238,25.53,3.78,,4.9,2.64,1.89,493
04593,"FISH OIL,SALMON",902,0,0,,19.872,29.037,40.324,485
17204,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",193,27.37,4.47,0,2.109,1.194,1.159,485
10107,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,KIDNEYS,CKD,BRSD",151,25.4,0,,1.51,1.55,0.38,480
15207,"ROE,MXD SP,CKD,DRY HEAT",204,28.62,1.92,,1.866,2.129,3.404,479
17374,"LAMB,NZ,IMP,SWEETBREAD,CKD,SOAKED & SIMMRD",144,21.13,0,0,2.342,1.847,0.393,462
05174,"TURKEY,GIZZARD,ALL CLASSES,CKD,SIMMRD",155,26.45,0,0,1.059,1.598,1.359,452
17217,"VEAL,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",129,24.08,0,,0.96,0.78,0.21,447
05021,"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,FRIED",277,32.54,4.35,,3.8,4.42,3.38,446
05022,"CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,SIMMRD",157,27.15,0,0,1.322,0.962,0.812,442
35158,"FISH,WHITEFISH,EGGS (ALASKA NATIVE)",104,14.66,4.89,0,0.496,1.046,1.073,439
05138,"CHICKEN,CAPONS,GIBLETS,CKD,SIMMRD",164,26.39,0.76,,1.77,1.37,1.13,434
21018,"FAST FOODS,EGG,SCRAMBLED",212,13.84,2.08,1.64,6.153,5.889,1.969,426
05177,"TURKEY,LIVER,ALL CLASSES,RAW",128,18.26,0,0,1.664,0.817,1.684,415
13323,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",99,17.4,0.29,0,0.868,0.586,0.545,411
23423,"BEEF,NZ,IMP,KIDNEY,RAW",87,15.68,0,0,0.616,0.345,0.606,404
01128,"EGG,WHL,CKD,FRIED",196,13.61,0.83,0.4,4.323,6.182,3.251,401
17211,"LAMB,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD",234,22.83,0,,6.84,5.45,0.74,400
13326,"BEEF,VAR MEATS & BY-PRODUCTS,LIVER,CKD,BRSD",191,29.08,5.13,0,2.947,1.124,1.109,396
17377,"LAMB,NZ,IMP,TESTES,RAW",68,11.4,0.14,0,0.793,0.357,0.353,393
07053,"PATE,CHICKEN LIVER,CANNED",201,13.45,6.55,0,4,5.28,2.46,391
35227,"SEA LION,STELLER,KIDNEY (ALASKA NATIVE)",93,18.1,1.4,,0.3,0.3,0.3,390
35051,"MOOSE,LIVER,BRSD (ALASKA NATIVE)",155,24.38,3.43,,,0.65,1.07,389
01255,"EGG,WHL,RAW,FRZ,SALTED,PAST",138,10.97,0.83,0.07,3.178,4,1.627,387
10113,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",99,16.6,0,,1.09,0.7,0.38,387
17369,"LAMB,NZ,IMP,LIVER,RAW",136,20.7,2.22,0,1.514,0.817,0.92,386
17215,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",156,26.46,0,,1.58,1.27,0.35,385
13327,"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",175,26.52,5.16,0,2.53,1.106,1.021,381
15072,"ROE,MIXED SPECIES,RAW",143,22.32,1.5,0,1.456,1.661,2.656,374
01129,"EGG,WHL,CKD,HARD-BOILED",155,12.58,1.12,1.12,3.267,4.077,1.414,373
01123,"EGG,WHL,RAW,FRSH",143,12.56,0.72,0.37,3.126,3.658,1.911,372
01171,"EGG,WHL,RAW,FRZ,PAST",154,12.03,1.27,0.1,3.348,4.223,1.71,372
17199,"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,RAW",139,20.38,1.78,,1.94,1.05,0.75,371
01131,"EGG,WHL,CKD,POACHED",143,12.51,0.71,0.37,3.113,3.643,1.904,370
05024,"CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD",154,30.39,0,0,0.67,0.528,0.353,370
17367,"LAMB,NZ,IMP,KIDNEY,RAW",84,15.21,0.03,0,0.768,0.391,0.54,369
17197,"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",99,15.76,0.85,,0.96,0.68,0.62,364
10117,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",100,17.86,0,,0.86,0.69,0.19,363
05176,"TURKEY,HEART,ALL CLASSES,CKD,SIMMRD",174,24.88,0,0,1.898,1.668,1.832,359
35226,"SEA LION,STELLER,LIVER (ALASKA NATIVE)",137,22.9,0,,1.3,0.9,0.2,359
05116,"CHICKEN,ROASTING,GIBLETS,CKD,SIMMRD",165,26.77,0.86,,1.64,1.33,1.22,357
05128,"CHICKEN,STEWING,GIBLETS,CKD,SIMMRD",194,25.73,0.11,,2.66,2.94,1.89,355
10111,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",165,26.02,3.76,,1.41,0.63,1.05,355
17219,"VEAL,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD",125,22.67,0,0,0.942,0.903,0.315,350
13334,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",145,25.1,0,,1.39,1.12,0.31,347
05027,"CHICKEN,LIVER,ALL CLASSES,RAW",119,16.92,0.73,0,1.563,1.249,1.306,345
17216,"VEAL,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",98,18.3,0,,0.73,0.59,0.16,340
17195,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",97,15.74,0.82,,1,0.63,0.55,337
17202,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,RAW",140,19.93,2.91,0,1.56,0.968,0.829,334
05171,"TURKEY,WHL,GIBLETS,RAW",124,18.18,0.07,0,1.452,1.016,1.425,333
10112,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",85,14.08,0,,0.96,0.61,0.34,320
10106,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",100,16.46,0,,1.04,1.07,0.26,319
10863,"PORK,FRSH,VAR MEATS & BY-PRODUCTS,STOMACH,CKD,SIMMRD",157,21.4,0.09,0,2.99,2.126,0.738,316
10116,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD",219,28.5,0,,3.73,3.75,2.03,315
01130,"EGG,WHOLE,COOKED,OMELET",154,10.57,0.64,0.31,3.319,4.843,2.712,313
10110,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW",134,21.39,2.47,,1.17,0.52,0.87,301
13338,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,CKD,BRSD",319,21.85,0,,8.61,8.64,4.66,294
05137,"CHICKEN,CAPONS,GIBLETS,RAW",130,18.28,1.42,,1.64,1.32,1.19,292
17206,"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",113,19.88,0,,1.06,0.8,0.43,284
01132,"EGG,WHL,CKD,SCRMBLD",149,9.99,1.61,1.39,3.331,4.441,2.429,277
10099,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,CHITTERLINGS,CKD,SIMMRD",233,12.49,0,0,9.52,7.073,1.217,277
13329,"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",120,20.4,0,,1.27,0.95,0.51,277
43285,"EGGS,SCRMBLD,FRZ MIXTURE",131,13.1,7.5,7.5,1.052,2.339,1.778,277
13325,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",135,20.36,3.89,0,1.233,0.479,0.465,275
05173,"TURKEY,GIZZARD,ALL CLASSES,RAW",111,18.8,0,0,0.929,0.795,0.708,271
35165,"FISH,WHITEFISH,DRIED (ALASKA NATIVE)",371,62.44,0,0,2.85,4.38,2.16,266
13333,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",105,18.3,0,,1,0.78,0.22,263
17208,"VEAL,VAR MEATS&BY-PRODUCTS,LUNGS,CKD,BRSD",104,18.74,0,,0.91,0.68,0.36,263
05020,"CHICKEN,BROILERS OR FRYERS,GIBLETS,RAW",124,17.88,1.8,,1.36,1.12,1.09,262
13332,"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,CKD,BRSD",271,27.1,0,,5.9,5.93,3.2,262
15176,"SQUID,MXD SP,CKD,FRIED",175,17.94,7.79,,1.878,2.749,2.136,260
17210,"LAMB,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",152,14.84,0,,4.44,3.54,0.48,260
19169,"EGG CUSTARDS,DRY MIX",410,6.9,82.8,,2.03,2.4,0.85,258
01003,"BUTTER OIL,ANHYDROUS",876,0.28,0,0,61.924,28.732,3.694,256
07055,"PATE,LIVER,NOT SPECIFIED,CND",319,14.2,1.5,,9.57,12.36,3.16,255
23425,"BEEF,NZ,IMP,LIVER,RAW",133,20.5,3.6,0,1.185,0.464,0.88,254
15152,"SHRIMP,MXD SP,CND",100,20.42,0,0,0.188,0.108,0.684,252
17214,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",101,17.2,0,,1.03,0.81,0.23,250
17218,"VEAL,VAR MEATS&BY-PRODUCTS,THYMUS,RAW",101,17.21,0,0,0.806,0.775,0.229,250
17192,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",185,24.97,1.93,,3.14,2.22,0.77,249
23437,"BEEF,NZ,IMP,SWEETBREAD,CKD,BLD",318,12.53,0,0,12.473,7.837,0.631,249
35184,"SMELT,DRIED (ALASKA NATIVE)",386,56.19,0,0,3.59,6.86,2.884,249
23424,"BEEF,NZ,IMP,LIVER,CKD,BLD",150,23.3,3.78,0,1.392,0.533,0.824,243
05026,"CHICKEN,HEART,ALL CLASSES,CKD,SIMMRD",185,26.41,0.1,,2.26,2.01,2.3,242
13328,"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",92,16.2,0,,0.86,0.64,0.34,242
05023,"CHICKEN,GIZZARD,ALL CLASSES,RAW",94,17.66,0,0,0.529,0.512,0.357,240
05127,"CHICKEN,STEWING,GIBLETS,RAW",168,17.89,2.13,,2.63,2.75,2.1,240
17223,"VEAL,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,BRSD",202,25.85,0,,4.35,4.61,0.38,238
05115,"CHICKEN,ROASTING,GIBLETS,RAW",127,18.14,1.14,,1.54,1.28,1.26,236
21003,"FAST FOODS,BISCUIT,W/EGG&BACON",305,11.33,19.06,2.19,5.3,8.96,4.98,235
15175,"SQUID,MIXED SPECIES,RAW",92,15.58,3.08,0,0.358,0.107,0.524,233
17207,"VEAL,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",90,16.3,0,,0.79,0.59,0.31,229
35180,"STEELHEAD TROUT,DRIED,FLESH (SHOSHONE BANNOCK)",382,77.27,0,0,0.829,1.228,1.739,227
05175,"TURKEY,HEART,ALL CLASSES,RAW",140,16.7,0.4,0,1.923,2.045,2.153,225
15229,"CUTTLEFISH,MXD SP,CKD,MOIST HEAT",158,32.48,1.64,,0.236,0.162,0.268,224
10119,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",159,16.85,0,0,4.025,3.59,0.892,223
13337,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,RAW",236,12.18,0,,7.01,7.05,3.8,223
10104,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",148,23.6,0.4,,1.34,1.18,1.3,221
18175,"COOKIES,LADYFINGERS,W/LEMON JUC&RIND",365,10.6,59.7,25.39,3.069,3.754,1.422,221
18423,"COOKIES,LADYFINGERS,WO/LEMON JUC&RIND",363,10.6,59.7,,3.022,3.745,1.423,221
01002,"BUTTER,WHIPPED,WITH SALT",717,0.85,0.06,0.06,50.489,23.426,3.012,219
23438,"BEEF,NZ,IMP,SWEETBREAD,RAW",303,11.51,0,0,12.294,8.072,0.646,217
01001,"BUTTER,WITH SALT",717,0.85,0.06,0.06,51.368,21.021,3.043,215
01145,"BUTTER,WITHOUT SALT",717,0.85,0.06,0.06,51.368,21.021,3.043,215
35171,"FISH,SALMON,CHUM,DRIED (ALASKA NATIVE)",378,62.09,0,0,2.395,5.139,2.323,214
17209,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",276,14.97,0,,11.79,8.45,0.76,213
13322,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,CKD,SIMMRD",165,28.48,0.15,0,1.404,1.011,0.985,212
15151,"SHRIMP,MXD SP,CKD,MOIST HEAT",119,22.78,1.52,0,0.521,0.361,0.59,211
13330,"BEEF,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED BF,RAW",276,14.97,0,,11.78,8.44,0.76,209
13331,"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",235,15.7,0,,6.41,6.44,3.47,205
14033,"BEVERAGES,ABBOTT,EAS WHEY PROT PDR",385,66.67,17.95,5.13,2.564,0.281,0.926,205
23414,"BEEF,NZ,IMP,HEART,CKD,BLD",179,31.29,0,0,1.825,1.025,1.052,201
21104,"FAST FOODS,EGG&CHS SNDWCH",233,10.69,17.76,,4.538,5.662,1.769,199
23444,"BEEF,NZ,IMP,TRIPE UNCKD,CKD,BLD",103,19,0,0,0.922,0.718,0.159,199
18237,"CREAM PUFF SHELL,PREP FROM RECIPE",362,9,22.8,0.43,5.599,11.128,7.38,196
10115,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",199,18.56,0,,4.58,4.6,2.48,193
15271,"CRUSTACEANS,SHRIMP,UNTREATED,CKD",99,23.98,0.2,,0.056,0.048,0.079,189
17221,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,BRSD",275,21.57,0,,7.83,10,1.25,189
17372,"LAMB,NZ,IMP,HEART,CKD,SOAKED & SIMMRD",161,26.26,0,0,2.001,1.006,0.933,186
21006,"FAST FOODS,BISCUIT W/ EGG & STEAK",277,12.12,14.37,,5.81,7.91,3.95,184
07014,"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",327,14.5,3.1,0,9.307,12.731,3.193,180
21002,FAST FOODS  BISCUIT  W/ EGG,274,8.53,23.46,,3.477,6.671,4.706,180
07207,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",332,14.25,2.6,1.2,10.94,15.481,3.73,178
05170,"TURKEY,SKN FROM WHL (LIGHT & DARK),RSTD",459,23.94,0.57,0,11.356,15.094,11.903,177
17194,"VEAL,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",186,29.12,0.13,,1.82,1.42,1.78,176
07040,"LIVER CHEESE,PORK",304,15.2,2.1,,8.96,12.26,3.42,174
17212,"VEAL,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",182,15,0,,4.51,4.54,2.44,173
21341,"MCDONALD'S,BIG BRKFST",285,10.16,17.5,0.93,6.405,7.372,3.195,173
21117,"FAST FOODS,HAM,EGG,&CHS SNDWCH",243,13.46,21.64,,5.175,4.017,1.182,172
18134,"CAKE,SPONGE,PREP FROM RECIPE",297,7.3,57.7,,1.301,1.576,0.649,170
21011,"FAST FOODS,CROISSANT,W/EGG&CHS",304,10.07,22.45,,11.075,5.938,1.076,170
21021,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&CANADIAN BACON",228,13.64,21.67,2.13,3.592,2.721,1.735,168
21012,"FAST FOODS,CROISSANT,W/EGG,CHS,&BACON",320,12.58,18.33,,11.963,7.113,1.363,167
21360,"MCDONALD'S,BACON EGG & CHS BISCUIT",304,13.45,22.26,2.18,8.262,5.546,2.625,167
21007,"FAST FOODS,BISCUIT,W/EGG,CHS,&BACON",301,12.01,24.44,1.74,5.893,8.035,1.922,166
21357,"MCDONALD'S,EGG MCMUFFIN",228,13.64,21.67,2.13,3.592,2.721,1.735,165
35161,"CARIBOU,SHLDR MEAT,DRIED (ALASKA NATIVE)",271,59.38,0,0,1.586,1.201,0.37,164
21022,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&SAUSAGE",286,13.38,17.44,1.49,6.928,6.765,2.772,163
15026,"EEL,MXD SP,CKD,DRY HEAT",236,23.65,0,,3.023,9.218,1.214,161
15270,"CRUSTACEANS,SHRIMP,UNTREATED,RAW",85,20.1,0,,0.101,0.086,0.152,161
21005,"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",312,11.13,21.05,0.95,6.449,9.985,2.967,161
05343,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,ROTISSERIE,",176,28.74,0,0,1.594,2.855,1.041,160
07208,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",341,14.2,2.3,0.7,10.89,15.57,3.76,160
07919,SAUSAGE  TURKEY  BRKFST LINKS  MILD,235,15.42,1.56,0,3.839,5.158,4.657,160
17375,"LAMB,NZ,IMP,SWEETBREAD,RAW",72,11,0,0,1.602,1.122,0.234,160
07041,"LIVER SAUSAGE,LIVERWURST,PORK",326,14.1,2.2,,10.6,13.34,2.6,158
17132,"VEAL,SHLDR,BLADE,LN,CKD,BRSD",198,32.66,0,0,1.81,2.31,0.58,158
23640,"BEEF,VAR MEATS & BY-PRODUCTS,TRIPE,CKD,SIMMRD",94,11.71,1.99,0,1.357,1.604,0.208,157
05313,"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE)",248,25.34,3.84,2.1,3.655,6.297,2.599,156
05349,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE",215,26.86,0.02,0.02,3.02,5.22,1.785,156
17220,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",222,15.7,0,,6.63,8.46,1.06,156
21004,"FAST FOODS,BISCUIT,W/EGG&HAM",233,10.64,16.37,2.2,3.08,5.71,4.01,156
21446,"POPEYES,FRIED CHICK,MILD,WING,MEAT ONLY,SKN & BRDING REMOVED",212,28.94,2.9,,3.079,4.024,1.391,156
05319,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK,MEAT ONLY",172,27.71,0,0,1.573,2.827,1.029,155
17126,"VEAL,SHLDR,ARM,LN,CKD,BRSD",201,35.73,0,,1.49,1.9,0.48,155
35190,"SALMON,RED (SOCKEYE),FILETS W/ SKN,SMOKED (ALASKA NATIVE)",345,60.62,0,0,2.593,4.025,3.469,155
05686,"CHICKEN,SKN (DRUMSTICKS & THIGHS),ENHANCED,CKD,RSTD",420,20.31,0.44,0,11,17.5,9,154
10098,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,CHITTERLINGS,RAW",182,7.64,0,0,7.619,5.367,0.996,154
21359,"MCDONALD'S,SAUSAGE MCMUFFIN W/ EGG",274,12.59,17.28,1.57,6.008,6.581,2.768,154
07973,"TURKEY BACON,MICROWAVED",368,29.5,4.24,4.24,6.933,9.382,6.871,153
17129,"VEAL,SHLDR,BLADE,LN&FAT,CKD,BRSD",225,31.26,0,0,3.64,3.85,0.74,153
21340,"MCDONALD'S,SAUSAGE BURRITO",262,11.54,21.39,1.25,5.361,5.735,2.109,153
15018,"COD,ATLANTIC,DRIED&SALTED",290,62.82,0,0,0.462,0.342,0.804,152
21362,"MCDONALD'S,SAUSAGE BISCUIT W/ EGG",311,11.27,19.28,1.43,8.628,7.748,3.169,152
05282,"PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED",462,11.4,4.67,,14.45,25.61,0.84,150
07054,"PATE,GOOSE LIVER,SMOKED,CND",462,11.4,4.67,,14.45,25.61,0.84,150
15142,"CRUSTACEANS,CRAB,BLUE,CRAB CAKES,HOME RECIPE",155,20.21,0.48,,1.483,2.815,2.273,150
35085,"WHALE,BOWHEAD,SUBCUTANEOUS FAT (BLUBBER) (ALASKA NATIVE)",870,0.4,0,,,,,150
05359,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK MEAT & SKN",206,25.65,0.12,0.12,2.855,4.75,1.523,149
17123,"VEAL,SHLDR,ARM,LN&FAT,CKD,BRSD",236,33.63,0,,3.96,3.99,0.7,148
21467,"FAST FOODS,FRIED CHICK,WING,MEAT ONLY,SKN & BREADING REMOVED",215,28.77,2.13,0,2.651,4.756,1.857,148
21307,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& BACON",272,12.03,26.19,9.56,4.121,4.635,1.331,147
21327,"MCDONALD'S,BACON,EGG & CHS MCGRIDDLES",272,12.03,26.19,9.56,4.201,4.686,1.775,147
10122,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,BRSD",271,24.1,0,,6.449,8.759,1.93,146
15148,"LOBSTER,NORTHERN,CKD,MOIST HEAT",89,19,0,0,0.208,0.253,0.34,146
21433,"KFC,FRIED CHICK,EX CRISPY,WING,MEAT ONLY,SKN & BRDING REMOVD",236,28.67,2.97,,2.603,3.917,4.045,146
17141,"VEAL,CUBED FOR STEW (LEG&SHLDR),LN,CKD,BRSD",188,34.94,0,,1.3,1.39,0.45,145
05699,"TURKEY,ENHANCED,SKN FROM WHL,(LIGHT & DARK),RSTD",451,22.15,0,0,11.356,15.094,11.903,144
17114,"VEAL,RIB,LN,CKD,BRSD",218,34.44,0,0,2.56,2.62,0.74,144
05303,"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",243,14.72,0,,4.73,9.3,4.55,143
05316,"DUCK,YNG DUCKL,DOM,WH PEKIN,BRST,MEAT,BNLESS,CKD WO/SKN,BRLD",140,27.6,0,,0.578,0.871,0.378,143
15088,"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",208,24.62,0,0,1.528,3.869,5.148,142
05103,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,RSTD",254,23.79,0,0,4.976,7.706,3.59,141
