NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
11653,"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",62,5.25,11.6,,0.109,0.067,0.523,0
11654,"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",22,1.86,4.1,,0.039,0.024,0.185,0
11655,"CARROT JUICE,CANNED",40,0.95,9.28,3.91,0.027,0.007,0.071,0
11660,"TOMATOES,RED,RIPE,CKD,STWD",79,1.96,13.05,,0.521,1.048,0.878,0
11663,"SEAWEED,AGAR,DRIED",306,6.21,80.88,2.97,0.061,0.027,0.102,0
11666,"SEAWEED,SPIRULINA,RAW",26,5.92,2.42,0.3,0.135,0.034,0.106,0
11667,"SEAWEED,SPIRULINA,DRIED",290,57.47,23.9,3.1,2.65,0.675,2.08,0
11669,"SEAWEED,WAKAME,RAW",45,3.03,9.14,0.65,0.13,0.058,0.218,0
11670,"PEPPERS,HOT CHILI,GRN,RAW",40,2,9.46,5.1,0.021,0.011,0.109,0
11674,"POTATOES,BKD,FLESH & SKN,WO/ SALT",93,2.5,21.15,1.18,0.035,0.003,0.058,0
11675,"POTATOES,MICROWAVED,CKD IN SKN,FLESH&SKN,WO/SALT",105,2.44,24.24,,0.026,0.002,0.043,0
11676,"RADISH SEEDS,SPROUTED,RAW",43,3.81,3.6,,0.767,0.419,1.141,0
11677,"SHALLOTS,RAW",72,2.5,16.8,7.87,0.017,0.014,0.039,0
11683,"CARROT,DEHYDRATED",341,8.1,79.57,38.82,0.256,0.076,0.73,0
11693,"TOMATOES,CRUSHED,CANNED",32,1.64,7.29,4.4,0.04,0.043,0.113,0
11695,"TOMATOES,ORANGE,RAW",16,1.16,3.18,,0.025,0.028,0.076,0
11696,"TOMATOES,YELLOW,RAW",15,0.98,2.98,,0.036,0.04,0.108,0
11697,"ARROWROOT,RAW",65,4.24,13.39,,0.039,0.004,0.092,0
11698,"CHRYSANTHEMUM LEAVES,RAW",24,3.36,3.01,,,,,0
11700,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",21,2.11,4.11,,0.05,0.041,0.08,0
11701,"ARROWHEAD,CKD,BLD,DRND,W/SALT",78,4.49,16.14,,,,,0
11702,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",51,2.89,11.39,0.99,0.037,0.005,0.068,0
11703,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",45,3.11,9.18,0.84,0.119,0.015,0.216,0
11705,"ASPARAGUS,CKD,BLD,DRND,W/SALT",22,2.4,4.11,1.3,0.048,0,0.105,0
11707,"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",15,1.8,2.48,1,0.041,0.006,0.079,0
11709,"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",18,2.95,1.92,0.32,0.096,0.013,0.185,0
11710,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",32,3.6,6.16,1.04,,,,0
11711,"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT",19,0.84,4.32,1.95,,,,0
11712,"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT",11,1.53,1.52,,0.051,0.005,0.098,0
11713,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",33,4.83,4.72,,0.083,0.045,0.318,0
11714,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",123,6.81,23.64,1.63,0.073,0.019,0.154,0
11715,"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",71,4.07,13.33,0.93,0.066,0.016,0.139,0
11716,"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT",105,6.65,19.45,1.37,0.068,0.017,0.145,0
11717,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT",103,6.07,19.32,1.34,0.077,0.02,0.163,0
11718,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",19,2.03,3.6,2.84,0.025,0.012,0.032,0
11719,"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",78,7.07,15.01,,0.098,0.06,0.468,0
11720,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",162,9.31,30.88,,0.058,0.035,0.276,0
11721,"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",20,1.86,3.5,,0.039,0.024,0.185,0
11722,"BEANS,SNAP,YELLOW,RAW",31,1.82,7.13,,0.026,0.005,0.059,0
11723,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35,1.89,7.88,1.55,0.062,0.012,0.145,0
11724,"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",35,1.89,7.88,1.55,0.062,0.012,0.145,0
11725,"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",35,1.89,7.88,1.55,0.062,0.012,0.145,0
11726,"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",15,0.8,3.5,,0.023,0.004,0.052,0
11727,"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",15,0.8,3.5,,0.023,0.004,0.052,0
11728,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",15,0.8,3.5,,0.023,0.004,0.052,0
11729,"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",22,1.12,4.32,0.78,0.103,0.019,0.234,0
11730,"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",33,1.8,7.58,,0.047,0.008,0.108,0
11731,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",26,1.49,5.86,1.23,0.042,0.007,0.084,0
11732,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",28,1.49,6.45,1.23,0.042,0.007,0.084,0
11733,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",26,1.49,5.86,1.23,0.042,0.007,0.084,0
11734,"BEETS,CKD,BOILED. DRND,W/SALT",44,1.68,9.96,7.96,0.028,0.035,0.064,0
11735,"BEETS,CND,NO SALT,SOL&LIQUIDS",28,0.8,6.57,5.38,0.011,0.013,0.025,0
11736,"BEET GRNS,CKD,BLD,DRND,W/SALT",27,2.57,5.46,0.6,0.031,0.038,0.07,0
11737,"BORAGE,CKD,BLD,DRND,W/SALT",25,2.09,3.55,,0.197,0.245,0.127,0
11738,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",62,4.8,10.1,,0.142,0.02,0.303,0
11739,"BROCCOLI,LEAVES,RAW",28,2.98,5.24,,0.054,0.024,0.167,0
11740,"BROCCOLI,FLOWER CLUSTERS,RAW",28,2.98,5.24,,0.054,0.024,0.167,0
11741,"BROCCOLI,STALKS,RAW",28,2.98,5.24,,0.054,0.024,0.167,0
11742,"BROCCOLI,CKD,BLD,DRND,W/SALT",35,2.38,7.18,1.39,0.079,0.04,0.17,0
11743,"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",28,3.1,5.35,1.47,0.018,0.008,0.055,0
11744,"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,W/SALT",28,3.1,5.35,1.44,0.018,0.008,0.055,0
11745,"BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",36,2.55,7.1,1.74,0.102,0.038,0.255,0
11746,"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,W/SALT",42,3.64,8.32,2.08,0.081,0.03,0.2,0
11747,"BURDOCK ROOT,CKD,BLD,DRND,W/SALT",88,2.09,21.15,3.55,,,,0
11748,"BUTTERBUR,CKD,BLD,DRND,W/SALT",8,0.23,2.16,,,,,0
11749,"CABBAGE,COMMON,FRESHLY HARVEST,RAW",24,1.21,5.37,,0.023,0.013,0.087,0
11750,"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",24,1.21,5.37,,0.023,0.013,0.087,0
11751,"CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",23,1.27,5.51,2.79,0,0.019,0.023,0
11752,"CABBAGE,RED,CKD,BLD,DRND,W/SALT",29,1.51,6.94,3.32,0.011,0.007,0.043,0
11753,"CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT",24,1.8,5.41,,0.012,0.007,0.043,0
11754,"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT",12,1.56,1.78,0.83,0.021,0.012,0.077,0
